Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Jamaica,North America,2962478.0,958,30.0,12.0,300.0,745.0,1706.0,201.0,538.7768595041322,323.0,4.0,41840.0,14123.0
Malta,Europe,441663.0,946,1980.5,9.0,300.0,670.0,1706.0,267.0,538.7768595041322,2142.0,20.0,136713.0,309541.0
Andorra,Europe,77278.0,944,1980.5,52.0,300.0,828.0,1706.0,64.0,1.0,12216.0,673.0,3750.0,48526.0
Chad,Africa,16467965.0,942,1980.5,76.0,300.0,838.0,1706.0,28.0,538.7768595041322,57.0,5.0,1402404.7015706806,83959.3664921466
Gambia,Africa,2422754.0,935,1980.5,16.0,300.0,136.0,1706.0,783.0,538.7768595041322,386.0,7.0,5183.0,2139.0
Sao Tome and Principe,Africa,219544.0,878,1980.5,15.0,300.0,797.0,1706.0,66.0,538.7768595041322,3999.0,68.0,3079.0,14025.0
Botswana,Africa,2356075.0,804,1980.5,2.0,300.0,63.0,1706.0,739.0,1.0,341.0,0.8,68423.0,29041.0
Bahamas,North America,393616.0,761,1980.5,14.0,300.0,91.0,1706.0,656.0,1.0,1933.0,36.0,4814.0,12230.0
Vietnam,Asia,97425470.0,747,1980.5,10.0,300.0,392.0,1706.0,345.0,538.7768595041322,8.0,0.1,482456.0,4952.0
Lesotho,Africa,2143943.0,742,1980.5,23.0,300.0,175.0,1706.0,544.0,538.7768595041322,346.0,11.0,8771.0,4091.0
San Marino,Europe,33938.0,699,1980.5,42.0,300.0,657.0,1706.0,0.0,538.7768595041322,20596.0,1238.0,6068.0,178797.0
Réunion,Africa,895952.0,671,1980.5,5.0,300.0,592.0,1706.0,74.0,3.0,749.0,6.0,35419.0,39532.0
Channel Islands,Europe,174022.0,597,1980.5,47.0,300.0,533.0,1706.0,17.0,538.7768595041322,3431.0,270.0,30721.0,176535.0
Guyana,South America,786936.0,538,1980.5,22.0,300.0,189.0,1706.0,327.0,2.0,684.0,28.0,5165.0,6563.0
Tanzania,Africa,59886383.0,509,1980.5,21.0,300.0,183.0,1706.0,305.0,7.0,8.0,0.4,1402404.7015706806,83959.3664921466
Taiwan,Asia,23821199.0,477,1980.5,7.0,300.0,443.0,1706.0,27.0,538.7768595041322,20.0,0.3,82737.0,3473.0
Comoros,Africa,871326.0,396,1980.5,7.0,300.0,340.0,1706.0,49.0,538.7768595041322,454.0,8.0,1402404.7015706806,83959.3664921466
Burundi,Africa,11922216.0,395,1980.5,1.0,300.0,304.0,1706.0,90.0,538.7768595041322,33.0,0.08,15614.0,1310.0
Myanmar,Asia,54446389.0,357,1980.5,6.0,300.0,308.0,1706.0,43.0,538.7768595041322,7.0,0.1,122290.0,2246.0
Mauritius,Africa,1271985.0,344,1980.5,10.0,300.0,334.0,1706.0,0.0,538.7768595041322,270.0,8.0,205285.0,161389.0
Isle of Man,Europe,85078.0,336,1980.5,24.0,300.0,312.0,1706.0,0.0,538.7768595041322,3949.0,282.0,8627.0,101401.0
Mongolia,Asia,3283344.0,293,1980.5,3812.8021390374333,300.0,260.0,1706.0,33.0,1.0,89.0,98.68117647058823,38334.0,11675.0
Eritrea,Africa,3551175.0,282,1980.5,3812.8021390374333,300.0,225.0,1706.0,57.0,538.7768595041322,79.0,98.68117647058823,1402404.7015706806,83959.3664921466
Guadeloupe,North America,400131.0,279,1980.5,14.0,300.0,179.0,1706.0,86.0,538.7768595041322,697.0,35.0,18476.0,46175.0
Martinique,North America,375235.0,276,1980.5,15.0,300.0,98.0,1706.0,163.0,1.0,736.0,40.0,12227.0,32585.0
Faeroe Islands,Europe,48882.0,266,1980.5,3812.8021390374333,300.0,192.0,1706.0,74.0,1.0,5442.0,98.68117647058823,43045.0,880590.0
Aruba,North America,106812.0,263,1980.5,3.0,300.0,114.0,1706.0,146.0,538.7768595041322,2462.0,28.0,14047.0,131511.0
Cambodia,Asia,16741375.0,243,1980.5,3812.8021390374333,300.0,210.0,1706.0,33.0,1.0,15.0,98.68117647058823,67807.0,4050.0
Trinidad and Tobago,North America,1399950.0,210,1980.5,8.0,300.0,135.0,1706.0,67.0,538.7768595041322,150.0,6.0,9559.0,6828.0
Cayman Islands,North America,65798.0,203,1980.5,1.0,300.0,202.0,1706.0,0.0,538.7768595041322,3085.0,15.0,31108.0,472780.0
Gibraltar,Europe,33690.0,190,1980.5,3812.8021390374333,300.0,184.0,1706.0,6.0,538.7768595041322,5640.0,98.68117647058823,23063.0,684565.0
Papua New Guinea,Australia/Oceania,8963009.0,163,1980.5,3.0,300.0,53.0,1706.0,107.0,538.7768595041322,18.0,0.3,10808.0,1206.0
Sint Maarten,North America,42924.0,160,1980.5,16.0,300.0,64.0,1706.0,80.0,3.0,3728.0,373.0,1115.0,25976.0
Bermuda,North America,62254.0,157,1980.5,9.0,300.0,144.0,1706.0,4.0,538.7768595041322,2522.0,145.0,26352.0,423298.0
Brunei ,Asia,437893.0,141,1980.5,3.0,300.0,138.0,1706.0,0.0,538.7768595041322,322.0,7.0,41148.0,93968.0
Barbados,North America,287411.0,133,1980.5,7.0,300.0,100.0,1706.0,26.0,538.7768595041322,463.0,24.0,12233.0,42563.0
Turks and Caicos,North America,38768.0,129,1980.5,2.0,300.0,39.0,1706.0,88.0,3.0,3327.0,52.0,1252.0,32295.0
Seychelles,Africa,98408.0,126,1980.5,3812.8021390374333,300.0,124.0,1706.0,2.0,538.7768595041322,1280.0,98.68117647058823,1402404.7015706806,83959.3664921466
Monaco,Europe,39270.0,125,1980.5,4.0,300.0,105.0,1706.0,16.0,2.0,3183.0,102.0,38209.0,972982.0
Bhutan,Asia,772443.0,105,1980.5,3812.8021390374333,300.0,93.0,1706.0,12.0,538.7768595041322,136.0,98.68117647058823,54589.0,70671.0
Antigua and Barbuda,North America,98010.0,92,1980.5,3.0,300.0,76.0,1706.0,13.0,1.0,939.0,31.0,1500.0,15305.0
